Level	Others	RiPPs	NRPS	PKS	Terpene
f__Blattabacteriaceae	0	0	0	0	0
f__CAIKAF01	15	1	0	8	13
f__Crocinitomicaceae	36	7	11	5	104
f__Cryomorphaceae	0	0	0	0	1
f__DT-38	0	0	0	0	0
f__ECT2AJA-044	0	0	0	0	0
f__Flavobacteriaceae	332	35	34	241	1028
f__GCA-002722245	1	0	0	0	14
f__GCA-2746335	0	0	0	0	0
f__Ichthyobacteriaceae	0	0	0	0	0
f__JAADED01	0	0	0	0	0
f__JABDKJ01	0	0	0	0	0
f__Luteibaculaceae	1	1	0	0	3
f__M30B66	0	0	0	0	0
f__NORP154	0	0	0	0	0
f__PHOS-HE28	0	0	0	0	0
f__Salibacteraceae	13	29	1	15	33
f__SAT41	0	0	0	0	0
f__Schleiferiaceae	8	1	3	10	141
f__TMED113	0	0	0	0	3
f__UA16	0	1	1	0	35
f__UBA10066	6	1	0	1	51
f__UBA10329	19	0	0	2	4
f__UBA1820	0	0	0	0	0
f__UBA2798	0	0	0	0	0
f__UBA7312	0	0	0	0	12
f__UBA7430	6	0	0	1	11
f__UJ101	0	0	0	0	0
f__Vicingaceae	2	8	0	3	43
f__Weeksellaceae	183	80	31	35	103
f__J057	0	0	0	0	2
f__JADKCL01	0	0	0	0	0
f__RFSG01	0	0	0	0	1
f__NORP286	0	0	0	0	0
f__CAINMV01	0	0	0	0	0
f__SHWZ01	0	0	0	0	0
f__UBA8524	4	0	0	3	4
f__UBA9320	12	0	0	7	28
f__UBA955	0	0	0	1	16
f__UKL13-3	0	0	0	1	2
f__CAIKLP01	0	1	0	0	1
f__Sphingobacteriaceae	135	42	35	87	113
f__JAADEI01	0	0	0	0	0
f__S141-50	0	0	0	0	0
f__SpSt-205	0	0	0	0	0
f__UBA7662	0	0	0	0	2
f__Chlorobiaceae	7	185	53	23	42
f__Chloroherpetonaceae	0	0	0	0	0
f__Ch128b	0	0	0	0	0
f__Ignavibacteriaceae	2	2	4	3	7
f__Melioribacteraceae	0	0	1	0	10
