ID	Marine	Freshwater	Terrestrialr
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|CADCTF01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|CAIXPF01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|GCA-2861595	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAAYBP01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JABEUL01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDEA01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JADJXE01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAEUJM01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAFATL01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|MedAcidi-G1	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Microtrichaceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Palsa-688	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|QHCF01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|SHLQ01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|SIRW01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|SKKL01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|SZUA-35	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|TK06	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA10347	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA11606	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8139	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8190	1	1	1
