	parent	node	label	nodeClass	nodeDepth	numGroup
1354	2720	1354	f__Sedimentisphaeraceae	OTU	5	NoUse
1355	2720	1355	f__SG8-4	OTU	5	<10
1356	2720	1356	f__SM23-30	OTU	5	<10
1357	2720	1357	f__UBA12454	OTU	5	NoUse
1358	2721	1358	f__FEN-1343	OTU	5	NoUse
1359	2721	1359	f__SM23-33	OTU	5	<10
1360	2722	1360	f__Tepidisphaeraceae	OTU	5	NoUse
1361	2723	1361	f__DSOQ01	OTU	5	NoUse
1362	2723	1362	f__Fen-1342	OTU	5	<10
1363	2723	1363	f__PWPN01	OTU	5	NoUse
1364	2723	1364	f__UBA1845	OTU	5	<10
1365	2723	1365	f__UTPLA1	OTU	5	NoUse
1366	2724	1366	f__WQYP01	OTU	5	NoUse
1367	2725	1367	f__JAEUHO01	OTU	5	NoUse
1368	2725	1368	f__PLA2	OTU	5	NoUse
1369	2726	1369	f__Gemmataceae	OTU	5	100-500
1370	2726	1370	f__HRBIN36	OTU	5	NoUse
1371	2727	1371	f__Isosphaeraceae	OTU	5	10-100
1372	2728	1372	f__Pan216	OTU	5	NoUse
1373	2729	1373	f__JACOUI01	OTU	5	NoUse
1374	2729	1374	f__JACPPG01	OTU	5	NoUse
1375	2729	1375	f__JAEUIK01	OTU	5	NoUse
1376	2729	1376	f__Lacipirellulaceae	OTU	5	NoUse
1377	2729	1377	f__PALSA-1355	OTU	5	<10
1378	2729	1378	f__Pb10988	OTU	5	NoUse
1379	2729	1379	f__Pirellulaceae	OTU	5	100-500
1380	2729	1380	f__PLA5	OTU	5	NoUse
1381	2729	1381	f__PNKZ01	OTU	5	NoUse
1382	2729	1382	f__S012-138	OTU	5	NoUse
1383	2729	1383	f__Thermoguttaceae	OTU	5	NoUse
1384	2729	1384	f__UBA1268	OTU	5	10-100
1385	2729	1385	f__UBA7805	OTU	5	10-100
1386	2730	1386	f__Mal52	OTU	5	NoUse
1387	2730	1387	f__Planctomycetaceae	OTU	5	100-500
1388	2730	1388	f__UBA10511	OTU	5	NoUse
1389	2731	1389	f__DSUN01	OTU	5	NoUse
1390	2732	1390	f__JABMSA01	OTU	5	<10
1391	2733	1391	f__JACPCR01	OTU	5	NoUse
1392	2734	1392	f__PUPC01	OTU	5	NoUse
1393	2735	1393	f__JACQRN01	OTU	5	NoUse
1394	2735	1394	f__SBBH01	OTU	5	NoUse
1395	2736	1395	f__H5-PLA8	OTU	5	NoUse
1396	2737	1396	f__JAFGGJ01	OTU	5	NoUse
1397	2738	1397	f__JAFGNG01	OTU	5	NoUse
1398	2738	1398	f__SZUA-567	OTU	5	NoUse
1399	2739	1399	f__GCA-2746535	OTU	5	NoUse
1400	2740	1400	f__JADGBV01	OTU	5	NoUse
1401	2741	1401	f__UBA11346	OTU	5	NoUse
1402	2742	1402	f__GCA-002686595	OTU	5	<10
1403	2742	1403	f__JACQFD01	OTU	5	NoUse
1404	2742	1404	f__JADKAF01	OTU	5	NoUse
1405	2742	1405	f__UBA1135	OTU	5	10-100
1406	2743	1406	f__GCA-002748355	OTU	5	<10
1407	2743	1407	f__UBA2386	OTU	5	10-100
1408	2744	1408	f__UBA1146	OTU	5	<10
1409	2745	1409	f__JACQVS01	OTU	5	NoUse
1410	2745	1410	f__SXIK01	OTU	5	<10
1411	2745	1411	f__UBA8108	OTU	5	10-100
1412	2746	1412	f__UBA8898	OTU	5	NoUse
1413	2747	1413	f__JACQVU01	OTU	5	NoUse
1414	2748	1414	f__SKZP01	OTU	5	NoUse
1415	2749	1415	f__JABWBM01	OTU	5	NoUse
1416	2749	1416	f__UBA2392	OTU	5	<10
1417	2750	1417	f__16-39-46	OTU	5	NoUse
1418	2750	1418	f__JABJFC01	OTU	5	NoUse
1419	2751	1419	f__43-37	OTU	5	NoUse
1420	2752	1420	f__Acetobacteraceae	OTU	5	10-100
1421	2753	1421	f__Stellaceae	OTU	5	10-100
1422	2754	1422	f__Azospirillaceae	OTU	5	10-100
1423	2755	1423	f__Bin65	OTU	5	NoUse
1424	2756	1424	f__Bin95	OTU	5	<10
1425	2757	1425	f__Bin98	OTU	5	NoUse
1426	2758	1426	f__BOG-932	OTU	5	NoUse
1427	2759	1427	f__CACIAM-22H2	OTU	5	<10
1428	2760	1428	f__CADEGL01	OTU	5	NoUse
1429	2761	1429	f__Caedimonadaceae	OTU	5	NoUse
1430	2761	1430	f__JAGOMX01	OTU	5	NoUse
1431	2761	1431	f__Nucleicultricaceae	OTU	5	NoUse
1432	2761	1432	f__UBA1908	OTU	5	<10
1433	2761	1433	f__UBA9215	OTU	5	<10
1434	2762	1434	f__CAISDR01	OTU	5	NoUse
1435	2763	1435	f__CAISOG01	OTU	5	NoUse
1436	2764	1436	f__CAIVPW01	OTU	5	NoUse
1437	2765	1437	f__Caulobacteraceae	OTU	5	100-500
1438	2765	1438	f__Hyphomonadaceae	OTU	5	100-500
1439	2765	1439	f__Maricaulaceae	OTU	5	10-100
1440	2765	1440	f__Parvularculaceae	OTU	5	10-100
1441	2765	1441	f__TH1-2	OTU	5	NoUse
1442	2766	1442	f__Dongiaceae	OTU	5	NoUse
1443	2767	1443	f__Inquilinaceae	OTU	5	NoUse
1444	2768	1444	f__Elsteraceae	OTU	5	NoUse
1445	2769	1445	f__Ferrovibrionaceae	OTU	5	<10
1446	2770	1446	f__GCA-002720895	OTU	5	10-100
1447	2771	1447	f__GCA-016699305	OTU	5	NoUse
1448	2772	1448	f__GCA-2701885	OTU	5	<10
1449	2773	1449	f__GCA-2721365	OTU	5	<10
1450	2774	1450	f__GCA-2731375	OTU	5	10-100
1451	2775	1451	f__GCA-2746255	OTU	5	<10
1452	2776	1452	f__Geminicoccaceae	OTU	5	NoUse
1453	2777	1453	f__GM7ARS4	OTU	5	NoUse
1454	2778	1454	f__GCA-002718135	OTU	5	10-100
1455	2778	1455	f__HIMB59	OTU	5	10-100
1456	2779	1456	f__Hepatobacteraceae	OTU	5	NoUse
1457	2779	1457	f__Holosporaceae	OTU	5	NoUse
1458	2779	1458	f__VGCF01	OTU	5	NoUse
1459	2780	1459	f__JAAXGF01	OTU	5	NoUse
1460	2781	1460	f__JABAAW01	OTU	5	NoUse
1461	2781	1461	f__JABSOH01	OTU	5	NoUse
1462	2782	1462	f__JACAEB01	OTU	5	NoUse
1463	2783	1463	f__JACQOE01	OTU	5	NoUse
1464	2784	1464	f__JAEUKQ01	OTU	5	NoUse
1465	2785	1465	f__JAEULC01	OTU	5	NoUse
1466	2786	1466	f__JAEULF01	OTU	5	NoUse
1467	2787	1467	f__JAGPBS01	OTU	5	NoUse
1468	2788	1468	f__CECT-8803	OTU	5	NoUse
1469	2788	1469	f__DSM-21159	OTU	5	NoUse
1470	2788	1470	f__J153	OTU	5	NoUse
1471	2788	1471	f__JACOMY01	OTU	5	NoUse
1472	2788	1472	f__Kiloniellaceae	OTU	5	<10
1473	2788	1473	f__Rhodovibrionaceae	OTU	5	<10
1474	2789	1474	f__MC1	OTU	5	NoUse
1475	2790	1475	f__GCA-2720935	OTU	5	<10
1476	2790	1476	f__Micavibrionaceae	OTU	5	10-100
1477	2790	1477	f__UBA2020	OTU	5	10-100
1478	2791	1478	f__Micropepsaceae	OTU	5	10-100
1479	2792	1479	f__Minwuiaceae	OTU	5	10-100
1480	2793	1480	f__MPNO01	OTU	5	10-100
1481	2793	1481	f__UBA2964	OTU	5	10-100
1482	2793	1482	f__UBA830	OTU	5	NoUse
1483	2793	1483	f__VGEU01	OTU	5	NoUse
1484	2794	1484	f__Oceanibaculaceae	OTU	5	10-100
1485	2795	1485	f__Paracaedibacteraceae	OTU	5	NoUse
1486	2795	1486	f__UBA11393	OTU	5	<10
1487	2795	1487	f__VGCI01	OTU	5	NoUse
1488	2796	1488	f__CGMCC-115125	OTU	5	NoUse
1489	2796	1489	f__Parvibaculaceae	OTU	5	10-100
1490	2796	1490	f__RS24	OTU	5	<10
1491	2797	1491	f__AG-422-B15	OTU	5	<10
1492	2797	1492	f__Pelagibacteraceae	OTU	5	500-1000
1493	2798	1493	f__AAA536-G10	OTU	5	10-100
1494	2798	1494	f__GCA-002684695	OTU	5	<10
1495	2798	1495	f__Puniceispirillaceae	OTU	5	10-100
1496	2798	1496	f__UBA1172	OTU	5	<10
1497	2799	1497	f__Reyranellaceae	OTU	5	10-100
1498	2800	1498	f__CACZRW01	OTU	5	NoUse
1499	2800	1499	f__CAG-239	OTU	5	NoUse
1500	2800	1500	f__CAG-977	OTU	5	NoUse
1501	2800	1501	f__SAAU01	OTU	5	NoUse
1502	2800	1502	f__SZUA-500	OTU	5	NoUse
1503	2800	1503	f__UBA3637	OTU	5	NoUse
1504	2800	1504	f__UBA5343	OTU	5	NoUse
1505	2800	1505	f__WRDZ01	OTU	5	NoUse
1506	2801	1506	f__Aestuariivirgaceae	OTU	5	NoUse
1507	2801	1507	f__Afifellaceae	OTU	5	NoUse
1508	2801	1508	f__Amorphaceae	OTU	5	10-100
1509	2801	1509	f__Ancalomicrobiaceae	OTU	5	NoUse
1510	2802	1510	f__Rhizobiaceae_A	OTU	5	10-100
1511	2801	1511	f__Beijerinckiaceae	OTU	5	10-100
1512	2801	1512	f__BM303	OTU	5	NoUse
1513	2803	1513	f__MED-G09	OTU	5	NoUse
1514	2803	1514	f__TMED25	OTU	5	10-100
1515	2801	1515	f__Cohaesibacteraceae	OTU	5	<10
1516	2801	1516	f__Devosiaceae	OTU	5	10-100
1517	2801	1517	f__GCA-2746425	OTU	5	<10
1518	2801	1518	f__HXMU1428-3	OTU	5	NoUse
1519	2801	1519	f__Hyphomicrobiaceae	OTU	5	<10
1520	2801	1520	f__Im1	OTU	5	NoUse
1521	2801	1521	f__JACESI01	OTU	5	NoUse
1522	2801	1522	f__Kaistiaceae	OTU	5	NoUse
1523	2801	1523	f__Labraceae	OTU	5	NoUse
1524	2801	1524	f__Methyloligellaceae	OTU	5	<10
1525	2801	1525	f__Methylopilaceae	OTU	5	NoUse
1526	2801	1526	f__MH13	OTU	5	NoUse
1527	2801	1527	f__NORP267	OTU	5	NoUse
1528	2801	1528	f__OSC116	OTU	5	NoUse
1529	2801	1529	f__Phreatobacteraceae	OTU	5	NoUse
1530	2801	1530	f__Pleomorphomonadaceae	OTU	5	NoUse
1531	2801	1531	f__Pseudoxanthobacteraceae	OTU	5	NoUse
1532	2801	1532	f__Rhizobiaceae	OTU	5	100-500
1533	2801	1533	f__Rhodobiaceae	OTU	5	NoUse
1534	2801	1534	f__Rhodomicrobiaceae	OTU	5	<10
1535	2801	1535	f__Stappiaceae	OTU	5	10-100
1536	2801	1536	f__SZUA-8	OTU	5	NoUse
1537	2801	1537	f__Tepidamorphaceae	OTU	5	NoUse
1538	2801	1538	f__Thermopetrobacteraceae	OTU	5	NoUse
1539	2801	1539	f__UBA4765	OTU	5	<10
1540	2801	1540	f__WTKA01	OTU	5	NoUse
1541	2801	1541	f__Xanthobacteraceae	OTU	5	10-100
1542	2804	1542	f__Rhodobacteraceae	OTU	5	>1000
1543	2805	1543	f__2-02-FULL-58-16	OTU	5	<10
1544	2805	1544	f__2-02-FULL-58-16_A	OTU	5	<10
1545	2805	1545	f__2-12-FULL-67-15	OTU	5	<10
1546	2805	1546	f__Casp-alpha2	OTU	5	10-100
1547	2805	1547	f__GLO-3	OTU	5	NoUse
1548	2805	1548	f__HT1-32	OTU	5	10-100
1549	2805	1549	f__JABJKH01	OTU	5	NoUse
1550	2805	1550	f__JADHTD01	OTU	5	NoUse
1551	2805	1551	f__JAHDSF01	OTU	5	NoUse
1552	2805	1552	f__Magnetospiraceae	OTU	5	NoUse
1553	2805	1553	f__Magnetospirillaceae	OTU	5	<10
1554	2805	1554	f__Magnetovibrionaceae	OTU	5	<10
1555	2805	1555	f__Rhodospirillaceae	OTU	5	10-100
1556	2805	1556	f__Terasakiellaceae	OTU	5	<10
1557	2805	1557	f__Thalassospiraceae	OTU	5	100-500
1558	2805	1558	f__UBA2165	OTU	5	10-100
1559	2805	1559	f__UXAT02	OTU	5	NoUse
1560	2805	1560	f__WMHbin7	OTU	5	NoUse
1561	2806	1561	f__1604HC	OTU	5	NoUse
1562	2806	1562	f__21-14-0-20-44-7	OTU	5	NoUse
1563	2806	1563	f__33-17	OTU	5	NoUse
1564	2806	1564	f__AB1-6	OTU	5	NoUse
1565	2806	1565	f__Anaplasmataceae	OTU	5	NoUse
1566	2806	1566	f__Arcanobacteraceae	OTU	5	NoUse
1567	2806	1567	f__BLZN01	OTU	5	NoUse
1568	2806	1568	f__CAIJLX01	OTU	5	NoUse
1569	2806	1569	f__CAIPFW01	OTU	5	NoUse
1570	2806	1570	f__Deianiraeaceae	OTU	5	NoUse
1571	2806	1571	f__JABCZZ01	OTU	5	NoUse
1572	2806	1572	f__JABDBP01	OTU	5	NoUse
1573	2806	1573	f__JABIRX01	OTU	5	NoUse
1574	2806	1574	f__JABSSG01	OTU	5	<10
1575	2806	1575	f__JADKJE01	OTU	5	NoUse
1576	2806	1576	f__JAFLCR01	OTU	5	NoUse
1577	2806	1577	f__Midichloriaceae	OTU	5	<10
1578	2806	1578	f__RGZB01	OTU	5	NoUse
1579	2806	1579	f__RI-342	OTU	5	NoUse
1580	2806	1580	f__Rickettsiaceae	OTU	5	<10
1581	2806	1581	f__SXRF01	OTU	5	<10
1582	2806	1582	f__UBA1459	OTU	5	NoUse
1583	2806	1583	f__UBA1997	OTU	5	<10
1584	2806	1584	f__UBA3002	OTU	5	<10
1585	2806	1585	f__UBA6177	OTU	5	<10
1586	2806	1586	f__UBA6187	OTU	5	<10
1587	2806	1587	f__UBA8987	OTU	5	NoUse
1588	2806	1588	f__UBA998	OTU	5	NoUse
1589	2806	1589	f__VGDC01	OTU	5	NoUse
1590	2807	1590	f__CACZYB01	OTU	5	NoUse
1591	2807	1591	f__JAERRO01	OTU	5	NoUse
1592	2807	1592	f__NBLK01	OTU	5	NoUse
1593	2807	1593	f__Rs-D84	OTU	5	<10
1594	2807	1594	f__SZUA-605	OTU	5	NoUse
1595	2808	1595	f__RUG11792	OTU	5	NoUse
1596	2809	1596	f__SHNJ01	OTU	5	NoUse
1597	2810	1597	f__SHVP01	OTU	5	NoUse
1598	2811	1598	f__SHVR01	OTU	5	NoUse
1599	2812	1599	f__SHVT01	OTU	5	NoUse
1600	2813	1600	f__SHVV01	OTU	5	NoUse
1601	2814	1601	f__SHVW01	OTU	5	NoUse
1602	2815	1602	f__SHVZ01	OTU	5	NoUse
1603	2816	1603	f__SHWA01	OTU	5	NoUse
1604	2817	1604	f__SMXP01	OTU	5	<10
1605	2818	1605	f__SMXQ01	OTU	5	<10
1606	2819	1606	f__SMXS01	OTU	5	10-100
1607	2820	1607	f__Sneathiellaceae	OTU	5	10-100
1608	2821	1608	f__SP197	OTU	5	<10
1609	2822	1609	f__Emcibacteraceae	OTU	5	10-100
1610	2822	1610	f__J090	OTU	5	NoUse
1611	2822	1611	f__Kordiimonadaceae	OTU	5	10-100
1612	2822	1612	f__Rhodothalassiaceae	OTU	5	NoUse
1613	2822	1613	f__SMXR01	OTU	5	NoUse
1614	2822	1614	f__Sphingomonadaceae	OTU	5	100-500
