OTUcluster	Others	RiPPs	Terpene	PKS	NRPS
GC_236	1.2214285714285715	1.1214285714285714	1.0142857142857142	0.9714285714285714	0.0
GC_237	3.225	0.875	1.125	1.0	2.125
GC_238	1.0708333333333333	0.25	2.7125	1.9458333333333333	0.9625
GC_239	0.0	2.0	0.0	0.0	1.0
GC_24	1.333333333333333	0.34074074074074073	1.91358024691358	0.0	0.0925925925925926
GC_240	0.5902777777777778	0.7604166666666667	1.6875	1.7013888888888888	3.1631944444444446
GC_241	1.5	0.0	1.0	1.0	0.0
GC_242	0.3333333333333333	4.09375	2.3125	1.5625	1.5104166666666665
GC_243	1.0	6.0	0.0	3.0	7.0
GC_244	2.333333333333333	1.8333333333333333	0.0	2.6666666666666665	0.0
GC_245	0.9333333333333332	1.4666666666666666	0.0	0.0	0.0
GC_246	2.0740740740740744	1.0	0.0	0.0	0.9629629629629628
GC_247	1.75	0.0	0.0	0.0	0.0
GC_248	0.04733333333333333	0.03	0.12	1.146	0.0
GC_249	4.0	1.0	0.0	1.0	2.0
GC_25	1.7428571428571429	0.7000000000000001	2.271428571428572	0.4	2.1428571428571432
GC_250	3.0	0.5	1.0	0.0	0.0
GC_251	2.5	0.5	0.5	2.5	1.0
GC_252	1.0	0.0	0.0	0.0	1.0
GC_253	3.0	1.0	1.0	0.0	1.0
GC_254	1.2	0.0	2.1333333333333333	0.6000000000000001	1.0666666666666669
GC_255	1.0	1.0	0.0	0.0	2.0
GC_256	0.125	0.125	1.125	1.125	0.0
GC_257	2.6	0.0	0.9	0.3	0.0
GC_258	2.333333333333334	1.1666666666666667	1.1666666666666663	1.3333333333333337	0.16666666666666666
GC_259	3.0	1.0	0.0	1.0	0.0
GC_26	2.0755555555555554	0.7533333333333334	1.5444444444444445	0.0	0.08000000000000002
GC_260	2.0	1.0	0.0	0.0	1.0
GC_261	1.7777777777777777	0.8888888888888888	0.0	1.4444444444444444	1.0
GC_262	2.0	0.0	0.0	0.0	0.0
GC_263	2.0	0.0	0.0	0.0	1.0
GC_264	1.0	0.0	0.0	0.0	0.0
GC_265	1.0	1.0	0.0	0.0	1.0
GC_266	2.0	0.0	0.0	0.0	0.0
GC_267	2.5	1.0	1.0	1.0	0.0
GC_268	3.625	0.25	2.0	1.125	1.25
GC_269	2.7	2.0	1.8	0.5	0.7
GC_27	5.9	0.6	0.0	0.95	0.2
GC_270	2.0	1.3333333333333333	1.0	0.0	0.0
GC_271	0.75	1.0	0.0	0.0	0.0
GC_272	1.0	0.0	0.0	0.0	1.5
GC_273	1.0	0.0	1.0	1.0	0.0
GC_274	1.5	1.0	1.0	0.0	0.0
GC_275	0.0	1.0	0.0	0.0	1.0
GC_276	2.7767857142857144	0.0	0.0	0.0	0.125
GC_277	3.333333333333333	0.0	0.3333333333333333	0.0	0.0
GC_278	2.0	2.0	1.0	1.0	1.0
GC_279	2.5	1.0	0.0	0.5	0.5
GC_28	3.0000000000000004	1.8	0.0	1.6	3.8000000000000003
GC_280	1.5	3.0	1.0	1.0	1.0
GC_281	1.0	2.0	0.0	0.0	0.0
GC_282	2.5	0.0	1.0	0.0	1.5
GC_283	2.0	0.0	0.0	0.0	0.0
GC_284	1.2	0.0	1.4	0.0	0.4
GC_285	1.6666666666666665	1.0	0.0	0.0	0.0
GC_286	0.0	1.0	0.0	0.0	0.0
GC_287	5.541666666666667	0.0	0.9166666666666666	0.3333333333333333	1.125
GC_288	4.202083333333333	1.6479166666666667	0.1	0.008333333333333331	0.1125
GC_289	5.0	0.0	1.0	0.0	1.0
GC_29	1.4000000000000001	1.5999999999999999	1.0	1.2	4.0
GC_290	1.156638418079096	1.4608243451463792	0.968759630200308	0.03333333333333333	1.2731638418079099
GC_291	3.0	2.0	0.0	0.0	1.0
GC_292	1.0	2.0	1.0	1.0	2.0
GC_293	1.1	3.5	0.1	0.9	0.0
GC_294	2.0	1.0	1.0	0.0	1.0
GC_295	1.0	0.0	0.0	0.0	0.0
GC_296	1.5	1.5	0.0	1.25	1.5
GC_297	1.6	0.0	0.8	0.8	0.0
GC_298	0.0	1.008294930875576	0.0	0.0	0.009216589861751152
GC_299	1.9642857142857142	0.0	1.8214285714285716	0.6428571428571428	0.5
GC_3	1.6666666666666665	1.6666666666666665	1.3333333333333333	0.0	0.0
GC_30	1.75	1.25	1.0	1.5	1.0
GC_300	2.0	1.0	1.5	1.0	1.25
GC_301	0.1875	1.0625	1.25	0.0	0.0
GC_302	3.5	0.5	1.0	1.5	0.5
GC_303	2.0	0.0	1.0	0.0	1.0
GC_304	2.625	0.25	0.5	0.0	0.0
GC_305	2.3333333333333335	0.5	0.0	1.3333333333333335	2.166666666666667
GC_306	3.0	0.0	2.0	0.75	1.0
GC_307	4.0	0.0	1.0	2.0	1.0
GC_308	1.5	1.0	0.0	0.0	1.0
GC_309	1.0	1.0	1.0	0.0	0.0
GC_31	1.4999999999999996	0.04166666666666666	1.25	0.04166666666666666	0.125
GC_310	2.0	0.0	0.0	0.0	0.0
GC_311	3.0	1.0	1.0	0.0	0.5
GC_312	3.0	1.0	1.0	0.0	1.0
GC_313	1.0	3.0	1.0	0.0	0.0
GC_314	4.0	1.0	0.0	0.0	0.0
GC_315	1.0	2.0	1.0	1.0	1.0
GC_316	2.5	1.0	1.0	0.0	0.0
GC_317	3.0	1.0	0.0	0.0	1.0
GC_318	1.0	1.5	0.0	1.0	0.0
GC_319	2.0	0.0	0.0	1.0	1.0
GC_32	1.230509903076275	0.002949852507374631	0.0	0.011061946902654867	0.0
GC_320	3.0	6.0	2.0	2.0	4.0
GC_321	2.5	0.0	0.5	0.0	1.6666666666666667
GC_322	2.0	3.0	0.0	0.0	0.0
GC_323	1.0	0.25	0.0	0.0	0.0
GC_324	1.0	0.0	1.0	0.0	1.6666666666666665
GC_325	3.0	1.0	0.0	0.0	0.0
GC_326	1.0	1.0	0.0	1.0	2.0
GC_327	2.0	1.0	0.0	0.0	0.0
GC_328	0.0	0.0	0.0	1.0	1.0
GC_329	2.0	0.0	1.0	1.0	0.0
GC_33	2.75	0.0	1.25	0.0	1.0
GC_330	3.0	1.0	1.0	0.0	1.0
GC_331	3.0	7.0	2.0	4.0	3.0
GC_332	3.0	1.0	1.0	1.0	1.0
GC_333	4.0	0.0	1.0	2.0	1.0
GC_334	3.5	2.0	2.0	0.0	0.0
GC_335	1.5	2.0	1.0	0.5	0.0
GC_336	1.6373626373626373	0.3571428571428571	0.0	0.0	0.0
GC_337	1.0	2.0	0.0	0.0	0.0
GC_338	1.625	0.0	1.0	0.0	1.5
GC_339	1.0	1.0	0.0	1.0	0.0
GC_34	1.875	0.0	0.0	0.0	0.5
GC_340	2.0	3.0	0.0	0.0	0.0
GC_341	2.0	2.0	1.0	1.0	0.0
GC_342	2.0	1.0	0.0	0.0	0.0
GC_343	1.0	0.0	0.0	1.0	0.5
GC_344	0.8666666666666667	0.0	0.7000000000000001	0.9333333333333332	0.0
GC_345	6.0	6.0	1.0	3.0	4.0
GC_346	0.5	2.5	0.0	0.0	2.5
GC_347	2.166666666666667	0.5	0.0	0.0	1.0
GC_348	1.25	2.0	0.0	1.25	1.75
GC_349	3.0	3.0	0.0	1.0	0.0
GC_35	0.5897435897435898	0.15384615384615385	0.0	1.7692307692307692	0.3846153846153847
GC_350	2.5	2.5	1.5	0.0	0.5
GC_351	2.0	0.0	0.0	1.0	0.0
GC_352	3.0	3.0	1.0	1.0	0.0
GC_353	2.5	1.5	1.0	1.5	1.5
GC_354	0.5	1.0	0.0	0.0	2.0
GC_355	5.0	2.0	0.5	0.0	0.5
GC_356	1.0	2.0	2.0	1.0	1.0
GC_357	5.0	1.5	0.5	0.0	0.5
GC_358	2.0	1.0	0.0	0.0	0.0
GC_359	3.0	1.5	0.0	0.5	0.5
GC_36	2.0	0.5	0.5	0.0	1.5
GC_360	1.0	1.0	0.0	0.0	0.0
GC_361	1.0	1.0	0.0	0.0	0.0
GC_362	1.0	3.0	0.0	0.0	0.0
GC_363	2.75	1.2142857142857144	2.0	0.7857142857142857	0.6428571428571428
GC_364	0.3666666666666667	1.9333333333333333	0.2333333333333333	0.03333333333333333	0.0
GC_365	1.0	0.0	0.0	0.0	0.0
GC_366	1.5	1.25	0.0	0.0	1.125
GC_367	1.0	2.0	0.0	0.0	0.0
GC_368	4.0	0.0	1.0	1.0	2.0
GC_369	4.0	1.0	1.0	3.0	0.0
GC_37	1.0357599561563753	0.08397271952259164	1.235403219258718	1.0489663256606987	0.15942028985507245
GC_370	0.0	0.0	0.0	1.0	1.0
GC_371	2.4999999999999996	0.0	1.75	1.5	2.25
GC_372	0.0	1.0	0.0	1.0	0.0
GC_373	1.0	1.0	0.0	0.0	2.0
GC_374	1.0	1.0	0.5	1.0	0.0
GC_375	4.0	0.0	0.0	0.0	1.0
GC_376	5.25	0.0	0.0	3.75	0.5
GC_377	3.0	1.0	0.0	0.0	2.0
GC_378	1.1333333333333333	0.2	0.0	0.0	0.9333333333333332
GC_379	2.0	1.0	1.0	0.0	1.0
GC_38	2.4000000000000004	1.0	0.8	1.2	2.8
