ID	OTUcluster
Freshwater_OTU_0857	GC_248
Freshwater_OTU_0858	GC_148
Freshwater_OTU_0859	GC_111
Freshwater_OTU_0860	GC_170
Freshwater_OTU_0861	GC_271
Freshwater_OTU_0862	GC_271
Freshwater_OTU_0863	GC_436
Freshwater_OTU_0864	GC_170
Freshwater_OTU_0865	GC_207
Freshwater_OTU_0866	GC_88
Freshwater_OTU_0867	GC_170
Freshwater_OTU_0868	GC_170
Freshwater_OTU_0869	GC_170
Freshwater_OTU_0870	GC_170
Freshwater_OTU_0871	GC_84
Freshwater_OTU_0872	GC_269
Freshwater_OTU_0873	GC_170
Freshwater_OTU_0875	GC_19
Freshwater_OTU_0877	GC_168
Freshwater_OTU_0884	GC_170
Freshwater_OTU_0901	GC_170
Freshwater_OTU_0902	GC_172
Freshwater_OTU_0903	GC_61
Freshwater_OTU_0905	GC_32
Freshwater_OTU_0906	GC_61
Freshwater_OTU_0907	GC_170
Freshwater_OTU_0908	GC_58
Freshwater_OTU_0909	GC_394
Freshwater_OTU_0910	GC_398
Freshwater_OTU_0911	GC_61
Freshwater_OTU_0912	GC_508
Freshwater_OTU_0913	GC_194
Freshwater_OTU_0915	GC_199
Freshwater_OTU_0916	GC_58
Freshwater_OTU_0918	GC_490
Freshwater_OTU_0921	GC_170
Freshwater_OTU_0923	GC_233
Freshwater_OTU_0924	GC_117
Freshwater_OTU_0925	GC_122
Freshwater_OTU_0927	GC_212
Freshwater_OTU_0929	GC_105
Freshwater_OTU_0931	GC_102
Freshwater_OTU_0932	GC_238
Freshwater_OTU_0933	GC_170
Freshwater_OTU_0934	GC_7
Freshwater_OTU_0935	GC_204
Freshwater_OTU_0936	GC_233
Freshwater_OTU_0937	GC_170
Freshwater_OTU_0938	GC_436
Freshwater_OTU_0939	GC_170
Freshwater_OTU_0940	GC_286
Freshwater_OTU_0941	GC_40
Freshwater_OTU_0942	GC_170
Freshwater_OTU_0943	GC_170
Freshwater_OTU_0944	GC_170
Freshwater_OTU_0945	GC_96
Freshwater_OTU_0946	GC_19
Freshwater_OTU_0947	GC_3
Freshwater_OTU_0948	GC_88
Freshwater_OTU_0949	GC_11
Freshwater_OTU_0950	GC_69
Freshwater_OTU_0952	GC_462
Freshwater_OTU_0953	GC_233
Freshwater_OTU_0954	GC_203
Freshwater_OTU_0955	GC_117
Freshwater_OTU_0956	GC_66
Freshwater_OTU_0957	GC_170
Freshwater_OTU_0958	GC_170
Freshwater_OTU_0959	GC_117
Freshwater_OTU_0960	GC_148
Freshwater_OTU_0962	GC_432
Freshwater_OTU_0963	GC_248
Freshwater_OTU_0975	GC_127
Freshwater_OTU_1000	GC_274
Freshwater_OTU_1001	GC_170
Freshwater_OTU_1002	GC_240
Freshwater_OTU_1003	GC_170
Freshwater_OTU_1004	GC_170
Freshwater_OTU_1005	GC_170
Freshwater_OTU_1007	GC_269
Freshwater_OTU_1008	GC_135
Freshwater_OTU_1009	GC_170
Freshwater_OTU_1010	GC_170
Freshwater_OTU_1011	GC_34
Freshwater_OTU_1012	GC_389
Freshwater_OTU_1013	GC_167
Freshwater_OTU_1014	GC_127
Freshwater_OTU_1015	GC_69
Freshwater_OTU_1017	GC_233
Freshwater_OTU_1018	GC_240
Freshwater_OTU_1019	GC_88
Freshwater_OTU_1021	GC_170
Freshwater_OTU_1022	GC_233
Freshwater_OTU_1024	GC_170
Freshwater_OTU_1025	GC_170
Freshwater_OTU_1027	GC_22
Freshwater_OTU_1028	GC_225
Freshwater_OTU_1029	GC_170
Freshwater_OTU_1031	GC_306
Freshwater_OTU_1032	GC_64
Freshwater_OTU_1033	GC_170
Freshwater_OTU_1034	GC_392
Freshwater_OTU_1035	GC_170
Freshwater_OTU_1036	GC_170
Freshwater_OTU_1037	GC_170
Freshwater_OTU_1039	GC_24
Freshwater_OTU_1041	GC_170
Freshwater_OTU_1043	GC_388
Freshwater_OTU_1044	GC_38
Freshwater_OTU_1045	GC_196
Freshwater_OTU_1046	GC_224
Freshwater_OTU_1047	GC_170
Freshwater_OTU_1048	GC_238
Freshwater_OTU_1049	GC_170
Freshwater_OTU_1050	GC_264
Freshwater_OTU_1053	GC_45
Freshwater_OTU_1080	GC_127
Freshwater_OTU_1088	GC_173
Freshwater_OTU_1101	GC_69
Freshwater_OTU_1102	GC_170
Freshwater_OTU_1104	GC_170
Freshwater_OTU_1105	GC_108
Freshwater_OTU_1106	GC_170
Freshwater_OTU_1107	GC_233
Freshwater_OTU_1108	GC_170
Freshwater_OTU_1109	GC_170
Freshwater_OTU_1110	GC_170
Freshwater_OTU_1111	GC_11
Freshwater_OTU_1112	GC_225
Freshwater_OTU_1113	GC_170
Freshwater_OTU_1115	GC_35
Freshwater_OTU_1116	GC_45
Freshwater_OTU_1117	GC_212
Freshwater_OTU_1119	GC_26
Freshwater_OTU_1121	GC_194
Freshwater_OTU_1122	GC_19
Freshwater_OTU_1123	GC_248
Freshwater_OTU_1124	GC_216
Freshwater_OTU_1125	GC_170
Freshwater_OTU_1126	GC_35
Freshwater_OTU_1127	GC_170
Freshwater_OTU_1128	GC_11
Freshwater_OTU_1129	GC_170
Freshwater_OTU_1130	GC_9
Freshwater_OTU_1131	GC_170
Freshwater_OTU_1132	GC_170
Freshwater_OTU_1133	GC_28
Freshwater_OTU_1134	GC_170
Freshwater_OTU_1138	GC_67
Freshwater_OTU_1139	GC_170
Freshwater_OTU_1140	GC_170
Freshwater_OTU_1141	GC_69
Freshwater_OTU_1142	GC_65
Freshwater_OTU_1143	GC_170
Freshwater_OTU_1146	GC_344
Freshwater_OTU_1147	GC_111
Freshwater_OTU_1148	GC_226
Freshwater_OTU_1149	GC_170
Freshwater_OTU_1150	GC_215
Freshwater_OTU_1151	GC_29
Freshwater_OTU_1153	GC_9
Freshwater_OTU_1154	GC_117
Freshwater_OTU_1155	GC_17
Freshwater_OTU_1203	GC_170
Freshwater_OTU_1204	GC_128
Freshwater_OTU_1205	GC_127
Freshwater_OTU_1206	GC_170
Freshwater_OTU_1207	GC_465
Freshwater_OTU_1208	GC_148
Freshwater_OTU_1209	GC_170
Freshwater_OTU_1210	GC_170
Freshwater_OTU_1212	GC_170
Freshwater_OTU_1217	GC_450
Freshwater_OTU_1218	GC_117
Freshwater_OTU_1219	GC_61
Freshwater_OTU_1220	GC_170
Freshwater_OTU_1221	GC_117
Freshwater_OTU_1223	GC_170
Freshwater_OTU_1224	GC_233
Freshwater_OTU_1225	GC_69
Freshwater_OTU_1226	GC_233
Freshwater_OTU_1227	GC_102
Freshwater_OTU_1228	GC_170
Freshwater_OTU_1229	GC_466
Freshwater_OTU_1230	GC_170
Freshwater_OTU_1231	GC_193
Freshwater_OTU_1232	GC_117
Freshwater_OTU_1233	GC_233
Freshwater_OTU_1234	GC_153
Freshwater_OTU_1235	GC_170
Freshwater_OTU_1236	GC_331
Freshwater_OTU_1237	GC_209
Freshwater_OTU_1238	GC_419
Freshwater_OTU_1239	GC_170
Freshwater_OTU_1240	GC_79
Freshwater_OTU_1241	GC_170
Freshwater_OTU_1242	GC_170
Freshwater_OTU_1244	GC_170
Freshwater_OTU_1245	GC_269
Freshwater_OTU_1246	GC_147
Freshwater_OTU_1247	GC_170
Freshwater_OTU_1248	GC_18
Freshwater_OTU_1249	GC_69
Freshwater_OTU_1251	GC_170
Freshwater_OTU_1252	GC_176
Freshwater_OTU_1254	GC_32
Freshwater_OTU_1257	GC_11
Freshwater_OTU_1258	GC_233
Freshwater_OTU_1259	GC_170
Freshwater_OTU_1262	GC_413
Freshwater_OTU_1263	GC_170
Freshwater_OTU_1264	GC_31
Freshwater_OTU_1266	GC_443
Freshwater_OTU_1267	GC_511
Freshwater_OTU_1301	GC_159
Freshwater_OTU_1302	GC_88
Freshwater_OTU_1304	GC_61
Freshwater_OTU_1305	GC_26
Freshwater_OTU_1306	GC_170
Freshwater_OTU_1307	GC_170
Freshwater_OTU_1310	GC_170
Freshwater_OTU_1313	GC_300
Freshwater_OTU_1314	GC_233
Freshwater_OTU_1315	GC_23
Freshwater_OTU_1316	GC_219
Freshwater_OTU_1318	GC_432
Freshwater_OTU_1319	GC_233
Freshwater_OTU_1321	GC_32
Freshwater_OTU_1322	GC_170
Freshwater_OTU_1323	GC_170
Freshwater_OTU_1324	GC_170
Freshwater_OTU_1325	GC_195
Freshwater_OTU_1327	GC_170
Freshwater_OTU_1329	GC_170
Freshwater_OTU_1330	GC_170
Freshwater_OTU_1331	GC_130
Freshwater_OTU_1332	GC_69
Freshwater_OTU_1333	GC_298
Freshwater_OTU_1334	GC_61
Freshwater_OTU_1336	GC_203
Freshwater_OTU_1337	GC_170
Freshwater_OTU_1338	GC_233
Freshwater_OTU_1340	GC_452
Freshwater_OTU_1341	GC_332
Freshwater_OTU_1342	GC_61
Freshwater_OTU_1343	GC_254
Freshwater_OTU_1345	GC_58
Freshwater_OTU_1346	GC_248
Freshwater_OTU_1347	GC_170
Freshwater_OTU_1348	GC_61
Freshwater_OTU_1350	GC_194
Freshwater_OTU_1351	GC_44
Freshwater_OTU_1352	GC_219
Freshwater_OTU_1354	GC_11
Freshwater_OTU_1355	GC_29
Freshwater_OTU_1356	GC_61
Freshwater_OTU_1357	GC_408
Freshwater_OTU_1358	GC_119
Freshwater_OTU_1359	GC_32
Freshwater_OTU_1360	GC_69
Freshwater_OTU_1361	GC_225
Freshwater_OTU_1401	GC_437
Freshwater_OTU_1403	GC_217
Freshwater_OTU_1404	GC_451
Freshwater_OTU_1405	GC_48
Freshwater_OTU_1406	GC_69
Freshwater_OTU_1407	GC_203
Freshwater_OTU_1408	GC_233
Freshwater_OTU_1409	GC_199
Freshwater_OTU_1410	GC_61
Freshwater_OTU_1411	GC_87
Freshwater_OTU_1417	GC_170
Freshwater_OTU_1419	GC_58
Freshwater_OTU_1420	GC_32
Freshwater_OTU_1421	GC_35
Freshwater_OTU_1422	GC_170
Freshwater_OTU_1423	GC_470
Freshwater_OTU_1424	GC_170
Freshwater_OTU_1425	GC_448
Freshwater_OTU_1428	GC_19
Freshwater_OTU_1430	GC_343
Freshwater_OTU_1431	GC_233
Freshwater_OTU_1432	GC_328
Freshwater_OTU_1433	GC_324
Freshwater_OTU_1435	GC_127
Freshwater_OTU_1436	GC_170
Freshwater_OTU_1437	GC_248
Freshwater_OTU_1438	GC_83
Freshwater_OTU_1440	GC_170
Freshwater_OTU_1441	GC_170
Freshwater_OTU_1442	GC_299
Freshwater_OTU_1443	GC_259
Freshwater_OTU_1445	GC_69
Freshwater_OTU_1446	GC_170
Freshwater_OTU_1447	GC_170
Freshwater_OTU_1448	GC_70
Freshwater_OTU_1449	GC_131
Freshwater_OTU_1450	GC_58
Freshwater_OTU_1451	GC_170
Freshwater_OTU_1453	GC_61
Freshwater_OTU_1454	GC_483
Freshwater_OTU_1455	GC_335
Freshwater_OTU_1456	GC_170
Freshwater_OTU_1457	GC_419
Freshwater_OTU_1458	GC_298
Freshwater_OTU_1460	GC_170
Freshwater_OTU_1461	GC_56
Freshwater_OTU_1462	GC_119
