ID	niches
anoxic_mOTU_1635	Freshwater
anoxic_mOTU_1540	Freshwater
anoxic_mOTU_1741	Freshwater
anoxic_mOTU_2235	Freshwater
anoxic_mOTU_1629	Freshwater
anoxic_mOTU_1366	Freshwater
anoxic_mOTU_3203	Freshwater
3300015370_18	Freshwater
anoxic_mOTU_1467	Freshwater
anoxic_mOTU_1438	Freshwater
anoxic_mOTU_2198	Freshwater
anoxic_mOTU_0681	Freshwater
anoxic_mOTU_1198	Freshwater
3300027815_40	Freshwater
3300027835_51	Freshwater
3300013128_56	Freshwater
3300013129_52	Freshwater
3300013130_62	Freshwater
3300002091_1	Freshwater
3300002092_2	Freshwater
3300007519_88	Freshwater
3300027697_25	Freshwater
3300017494_5	Freshwater
3300017518_16	Freshwater
3300017494_15	Freshwater
anoxic_mOTU_1153	Freshwater
3300020193_18	Freshwater
anoxic_mOTU_1696	Freshwater
anoxic_mOTU_1032	Freshwater
3300027728_22	Freshwater
3300027900_45	Freshwater
anoxic_mOTU_3347	Freshwater
3300024953_7	Freshwater
3300024903_4	Freshwater
3300024928_1	Freshwater
anoxic_mOTU_1420	Freshwater
3300020196_34	Freshwater
3300020197_40	Freshwater
3300020220_47	Freshwater
3300020578_41	Freshwater
3300020603_46	Freshwater
3300021091_42	Freshwater
3300021093_31	Freshwater
3300021518_10	Freshwater
3300009084_42	Freshwater
3300027850_25	Freshwater
3300009084_51	Freshwater
3300027878_35	Freshwater
3300007519_19	Freshwater
3300027832_19	Freshwater
3300007517_47	Freshwater
3300015360_68	Freshwater
3300020057_20	Freshwater
3300020186_24	Freshwater
3300020195_24	Freshwater
3300013006_19	Freshwater
3300015360_65	Freshwater
3300020219_22	Freshwater
3300027850_55	Freshwater
3300020186_14	Freshwater
3300027728_27	Freshwater
3300027730_26	Freshwater
3300027970_31	Freshwater
3300027977_32	Freshwater
3300028114_23	Freshwater
3300028571_35	Freshwater
3300028581_35	Freshwater
anoxic_mOTU_0124	Freshwater
3300020083_52	Freshwater
3300020183_43	Freshwater
3300020196_56	Freshwater
3300020221_61	Freshwater
3300021424_41	Freshwater
3300023174_43	Freshwater
3300000227_18	Freshwater
3300012046_4	Freshwater
3300017788_79	Freshwater
3300005662_52	Freshwater
3300009083_50	Freshwater
3300015370_25	Freshwater
3300017418_11	Freshwater
anoxic_mOTU_0772	Freshwater
3300017518_25	Freshwater
3300027816_24	Freshwater
3300027730_27	Freshwater
3300028114_22	Freshwater
anoxic_mOTU_2863	Freshwater
3300025405_1	Freshwater
anoxic_mOTU_1361	Freshwater
anoxic_mOTU_0204	Freshwater
anoxic_mOTU_2041	Freshwater
3300024908_4	Freshwater
anoxic_mOTU_2058	Freshwater
3300027897_32	Freshwater
3300020730_2	Freshwater
3300020735_3	Freshwater
anoxic_mOTU_0083	Freshwater
anoxic_mOTU_3306	Freshwater
anoxic_mOTU_2413	Freshwater
3300009084_120	Freshwater
